,company_id,name_latest,names_previous
0,1000045,Nicholas Financial Inc,
1,1000180,Sandisk Corp,
2,1000209,Medallion Financial Corp,
3,1000228,Henry Schein Inc,
4,1000229,Core Laboratories N V,
5,1000230,Optical Cable Corp,
6,1000232,Kentucky Bancshares Inc /KY/,
7,1000278,Pacifichealth Laboratories Inc,
8,1000298,Impac Mortgage Holdings Inc,
9,1000459,Green Energy Group Inc.,
10,1000623,Schweitzer Mauduit International Inc,
11,1000683,Blonder Tongue Laboratories Inc,
12,1000694,Novavax Inc,
13,1000697,Waters Corp /DE/,
14,1000753,"Insperity, Inc.",
15,1000955,"Southcorp Capital, Inc.",
16,1001039,Walt Disney CO/,
17,1001082,Dish Network Corp,
18,1001115,Geospace Technologies Corp,OYO Geospace Corp
19,1001171,Broadway Financial Corp \DE\,
20,100122,Tucson Electric Power CO,
21,1001233,Sangamo Biosciences Inc,
22,1001250,Estee Lauder Companies Inc,
23,1001258,Asta Funding Inc,
24,1001279,Internet America Inc,
25,1001288,Lexmark International Inc /KY/,
26,1001316,"TG Therapeutics, Inc.",Manhattan Pharmaceuticals Inc
27,1001385,Northwest Pipe CO,
28,1001426,Pericom Semiconductor Corp,
29,1001463,"Acacia Diversified Holdings, Inc.",
30,1001601,MGT Capital Investments Inc,
31,1001604,Emeritus Corp\Wa\,
32,1001606,Blount International Inc,
33,1001614,Tengasco Inc,
34,1001838,Southern Copper Corp/,
35,1001871,Investors Capital Holdings LTD,
36,1001902,Intevac Inc,
37,1001907,Astrotech Corp,Astrotech Corp \WA\
38,1002037,"Learning Tree International, Inc.",Learning Tree International Inc
39,1002047,"Netapp, Inc.",
40,1002135,Westell Technologies Inc,
41,1002225,Advent Software Inc /DE/,
42,1002360,"Absolute Potential, Inc.",
43,1002388,"Accelrys, Inc.",
44,1002390,"America'S Suppliers, Inc.",
45,1002422,"Ceres Ventures, Inc.",Phytomedical Technologies Inc
46,1002517,"Nuance Communications, Inc.",
47,1002519,Cronos Global Income Fund XVI LP,
48,1002531,Tollgrade Communications Inc \PA\,
49,1002590,Star GAS Partners LP,
50,1002638,Open Text Corp,
51,1002761,Americredit Financial Services Inc,
52,1002811,Kensey Nash Corp,
53,1002822,First American Scientific Corp.,First American Scientific Corp \NV\
54,1002910,Ameren Corp,
55,1003022,Zoran Corp \DE\,
56,1003078,MSC Industrial Direct CO Inc,
57,1003124,Pharmaceutical Product Development Inc,
58,1003130,LCA Vision Inc,
59,1003201,"MMA Capital Management, LLC",Municipal Mortgage & Equity LLC
60,1003214,Silicon Image Inc,
61,1003226,"First Physicians Capital Group, Inc.",
62,1003344,Headwaters Inc,
63,1003410,Duke Realty Limited Partnership/,
64,1003509,American Express Credit Account Master Trust,
65,1003642,Impax Laboratories Inc,
66,100378,Twin Disc Inc,
67,1003815,Bctc IV Assignor Corp,
68,1003950,Performance Technologies Inc \DE\,
69,1003961,Patapsco Bancorp Inc,
70,1003986,Taylor Calvin B Bankshares Inc,
71,1004036,Tanger Properties LTD Partnership /NC/,
72,100412,250 West 57th ST Associates L.L.C.,
73,1004125,KSW Inc,
74,1004155,Southern CO GAS,AGL Resources Inc
75,1004158,GS Mortgage Securities Corp II,
76,1004411,Gilla Inc.,
77,1004434,"Affiliated Managers Group, Inc.",Affiliated Managers Group Inc
78,1004440,Constellation Energy Group Inc,
79,1004608,Pinnacle Data Systems Inc,
80,1004673,Entertainment Gaming Asia Inc.,
81,1004702,Oceanfirst Financial Corp,
82,1004724,"Adcare Health Systems, Inc",Adcare Health Systems Inc
83,10048,Barnwell Industries Inc,
84,100493,Tyson Foods Inc,
85,1004980,Pg&E Corp,
86,1004988,Chase Credit Card Master Trust,
87,1004989,Spar Group Inc,
88,1005010,Arthrocare Corp,
89,1005101,Concierge Technologies Inc,
90,100517,"United Continental Holdings, Inc.",
91,1005177,ML Trend-Following Futures Fund L.P.,
92,1005188,North Central Bancshares Inc,
93,1005201,Depomed Inc,
94,1005210,Suburban Propane Partners LP,
95,1005214,American Wagering Inc,
96,1005229,Columbus Mckinnon Corp,
97,1005276,Mohegan Tribal Gaming Authority,
98,1005284,Universal Display Corp \PA\,
99,1005286,Landec Corp \CA\,
100,1005409,Dime Community Bancshares Inc,
101,1005414,Toys R US Inc,
102,100548,UGI Utilities Inc,
103,1005663,"Euro Group OF Companies, Inc.",
104,1005699,Magicjack Vocaltec LTD,
105,1005731,IDT Corp,
106,1005757,CSG Systems International Inc,
107,1005758,"Radioio, Inc.","IO World Media, Inc"
108,1005817,Tompkins Financial Corp,
109,100591,Argan Inc,
110,1006028,"Pure Bioscience, Inc.",Pure Bioscience
111,1006045,Iridex Corp,
112,1006177,FFD Financial Corp/Oh,
113,100625,Sierra Monitor Corp /CA/,
114,1006269,Loral Space & Communications Inc.,
115,1006281,"Protalix Biotherapeutics, Inc.",
116,1006424,"Bear State Financial, Inc.",First Federal Bancshares OF Arkansas Inc
117,1006459,Timios National Corp,Homeland Security Capital Corp
118,1006655,Evolution Petroleum Corp,
119,1006820,Northern California Bancorp Inc,
120,1006830,Consumers Bancorp Inc /OH/,
121,1006837,"HC2 Holdings, Inc.","Primus Telecommunications Group IncPtgi Holding, Inc."
122,1006840,"Zhongchai Machinery, Inc.",
123,1006892,JDA Software Group Inc,
124,1007019,Coffee Holding CO Inc,
125,100716,Unico American Corp,
126,100726,Unifi Inc,
127,1007273,Bank OF South Carolina Corp,
128,1007330,"Prgx Global, Inc.",
129,1007587,KVH Industries Inc \DE\,
130,100790,Union Carbide Corp /NEW/,
131,100826,Union Electric CO,
132,1008579,Highlands Bankshares Inc /VA/,
133,1008586,Streamline Health Solutions Inc.,
134,1008654,Tupperware Brands Corp,
135,1008817,Sapient Corp,
136,1008848,Acorda Therapeutics Inc,
137,100885,Union Pacific Corp,
138,1009356,Salix Pharmaceuticals LTD,
139,1009379,Metropolitan Health Networks Inc,
140,1009626,Brocade Communications Systems Inc,
141,1009672,Carbo Ceramics Inc,
142,1009759,Capstone Turbine Corp,
143,1009829,Jakks Pacific Inc,
144,1009891,AIR Industries Group,"AIR Industries Group, Inc."
145,1009925,"American Fiber Green Products, Inc.",
146,1009976,Commercial Bancshares Inc \OH\,
147,101001,"United AIR Lines, Inc.",United AIR Lines Inc
148,1010086,Siga Technologies Inc,
149,1010247,Fpic Insurance Group Inc,
150,1010286,Fibertower Corp,
151,1010470,Provident Financial Holdings Inc,
152,1010552,Polycom Inc,
153,1010566,China Longyi Group International Holdings LTD,
154,1010612,Sykes Enterprises Inc,
155,101063,Chiquita Brands International Inc,
156,1010858,Fairmount Santrol Holdings Inc.,Fmsa Holdings Inc
157,1011006,Yahoo Inc,
158,1011060,Advansource Biomaterials Corp,
159,1011064,Sunrise Senior Living Inc,
160,1011109,Acre Realty Investors Inc,Roberts Realty Investors Inc
161,1011174,BRE Properties Inc /MD/,
162,1011290,99 Cents Only Stores LLC,99 Cents Only Stores
163,1011308,Footstar Inc,
164,1011395,Geospatial Corp,
165,1011432,Auxilio Inc,
166,1011452,"Medical Information Technology, Inc.",Medical Information Technology Inc
167,1011509,Golden Minerals CO,
168,1011570,Knoll Inc,
169,1011657,Titanium Metals Corp,
170,1011659,Mufg Americas Holdings Corp,Unionbancal Corp
171,1011661,Ss&C Technologies Inc,
172,1011662,Global Digital Solutions Inc,
173,1011733,Trimol Group Inc.,Trimol Group Inc
174,1011835,"Medivation, Inc.",
175,101199,United Fire Group Inc,United Fire & Casualty CO
176,1012019,Rush Enterprises Inc \TX\,
177,1012100,Sealed AIR Corp/De,
178,1012140,Onyx Pharmaceuticals Inc,
179,1012271,Post Apartment Homes LP,
180,1012477,Flamel Technologies SA,
181,1012493,Ferrellgas Partners Finance Corp,
182,1012569,"Energy Transfer Partners, L.P.",
183,1012620,Genesee & Wyoming Inc,
184,1012704,Drivetime Automotive Group Inc,
185,1012771,FBL Financial Group Inc,
186,101295,United Guardian Inc,
187,1013237,Factset Research Systems Inc,
188,1013238,Aradigm Corp,
189,1013272,Norwood Financial Corp,
190,1013453,"Valcom, Inc",
191,1013462,Ansys Inc,
192,1013488,BJS Restaurants Inc,
193,1013554,Park Bancorp Inc,
194,1013606,Endologix Inc /DE/,
195,1013706,"Wilhelmina International, Inc.",
196,1013796,TIB Financial Corp.,
197,101382,UMB Financial Corp,
198,1013844,Colonial Realty Limited Partnership,
199,1013857,Pegasystems Inc,
200,1013871,"NRG Energy, Inc.",
201,1013880,Teletech Holdings Inc,
202,101390,United Mortgage Trust,
203,1013934,Strayer Education Inc,
204,1014041,SRI Surgical Express Inc,
205,1014052,"Digerati Technologies, Inc.",Atsi Communications Inc/De
206,1014111,Imation Corp,
207,1014473,Verisign Inc/Ca,
208,1014507,"Sirona Dental Systems, Inc.",
209,101462,United Refining CO,
210,1014653,Profile Technologies Inc,
211,1014669,Sterling Chemicals Inc,
212,1014672,Caliper Life Sciences Inc,
213,1014739,"Bioscrip, Inc.",
214,1014763,Amarillo Biosciences Inc,
215,1015155,Charles & Colvard LTD,
216,1015328,Wintrust Financial Corp,
217,101538,United States Antimony Corp,
218,1015383,Retrospettiva Inc,
219,1015593,River Valley Bancorp,
220,1015739,Aware Inc /MA/,
221,1015780,E Trade Financial Corp,
222,1015789,"Proelite, Inc.",
223,101594,US Energy Corp,
224,1016125,Ultimate Software Group Inc,
225,1016169,"Antares Pharma, Inc.",
226,1016178,Carver Bancorp Inc,
227,1016281,Carriage Services Inc,
228,1016470,SRS Labs Inc,
229,1016504,Integrated Biopharma Inc,
230,1016546,Altair Nanotechnologies Inc,
231,1016708,"Renovacare, Inc.","Janus Resources, Inc."
232,1016900,"Applied Natural GAS Fuels, Inc.",
233,1016951,"Tumbleweed Holdings, Inc.",Digital Creative Development Corp
234,1017110,Genethera Inc,
235,1017290,Silver Dragon Resources Inc.,
236,1017303,Transact Technologies Inc,
237,1017480,Hibbett Sports Inc,
238,1017491,"Apricus Biosciences, Inc.",
239,1017616,"Tonner-One World Holdings, Inc.","ONE World Holdings, Inc."
240,1017655,Paid Inc,
241,1017673,Dover Motorsports Inc,
