,Indicator ID,Total,2010,2011,2012,2013,2014,2015,2016
0,LiabilitiesAndStockholdersEquity,402255,75,16720,25727,26654,26597,25802,12510
1,Assets,401706,78,16695,25753,26613,26564,25746,12453
2,CashAndCashEquivalentsAtCarryingValue,364047,79,15282,23267,23898,24027,23463,11333
3,StockholdersEquity,362172,67,14513,23166,24131,24083,23444,11320
4,NetIncomeLoss,353946,72,14418,22418,23325,23494,23012,11243
5,RetainedEarningsAccumulatedDeficit,343248,70,13910,21121,21954,22603,23334,11424
6,CommonStockValue,329724,61,13884,21013,21749,21761,21242,10198
7,CommonStockSharesAuthorized,329103,50,13388,20998,21982,21933,21271,10079
8,CommonStockSharesIssued,318525,51,12850,20279,21309,21290,20625,9771
9,PropertyPlantAndEquipmentNet,313362,78,13205,19901,20586,20669,20236,9779
10,AssetsCurrent,309849,77,13009,19734,20480,20521,19834,9628
11,LiabilitiesCurrent,309408,77,12968,19674,20491,20554,19798,9574
12,CommonStockParOrStatedValuePerShare,308265,49,12448,19639,20545,20646,19981,9447
13,Liabilities,300633,49,11843,18799,19793,20112,19898,9717
14,OperatingIncomeLoss,294576,70,12216,18634,19369,19429,19042,9432
15,CommonStockSharesOutstanding,286272,38,11127,18080,19062,19294,18870,8953
16,IncomeTaxExpenseBenefit,268725,73,11838,16970,17295,17480,17327,8592
17,InterestExpense,246051,58,10375,15737,16475,16272,15616,7484
18,WeightedAverageNumberOfSharesOutstandingBasic,240735,65,10384,15250,15969,15743,15332,7502
19,AccumulatedOtherComprehensiveIncomeLossNetOfTax,237696,68,10365,15006,15469,15463,15300,7561
20,AccountsPayableCurrent,227892,61,9536,14433,15082,15071,14635,7146
21,EarningsPerShareBasic,225360,70,10354,14323,14675,14545,14152,7001
22,WeightedAverageNumberOfDilutedSharesOutstanding,225312,65,9718,14178,14865,14716,14448,7114
23,EarningsPerShareDiluted,214050,70,9955,13585,13831,13755,13467,6687
24,ComprehensiveIncomeNetOfTax,211233,15,4446,13662,14886,15029,14876,7497
25,PreferredStockSharesAuthorized,209460,35,8146,13322,14059,14067,13781,6410
26,AccountsReceivableNetCurrent,198948,56,8477,12636,12986,13160,12775,6226
27,OtherAssetsNoncurrent,196785,73,8638,12300,12671,12878,12747,6288
28,AdditionalPaidInCapital,194097,21,7690,12337,13244,13481,12150,5776
29,OperatingExpenses,189519,29,7062,11620,12609,12975,12779,6099
30,GeneralAndAdministrativeExpense,187029,22,7185,11808,12449,12617,12301,5961
31,PreferredStockParOrStatedValuePerShare,182769,31,7026,11416,12231,12386,12133,5700
32,Goodwill,180117,69,7741,11087,11533,11778,11975,5856
33,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,173970,34,4920,10480,12284,12573,12376,5323
34,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,173487,61,9194,12465,11869,10983,9200,4057
35,InventoryNet,165228,66,7297,10539,10809,10744,10500,5121
36,Revenues,164388,15,6737,10155,10684,11060,10860,5285
37,AdditionalPaidInCapitalCommonStock,153723,37,6733,9899,9773,9545,10207,5047
38,OtherLiabilitiesNoncurrent,153660,68,6825,9442,9831,9988,10023,5043
39,AccruedLiabilitiesCurrent,151182,24,5976,9465,9989,10235,9935,4770
40,PreferredStockSharesIssued,148290,30,5931,8739,9448,10133,10203,4946
41,GrossProfit,143301,45,6053,9093,9505,9471,9117,4483
42,PropertyPlantAndEquipmentGross,135837,25,3269,8149,9816,10048,9965,4007
43,IntangibleAssetsNetExcludingGoodwill,132267,55,5795,8423,8659,8662,8404,4091
44,OtherNonoperatingIncomeExpense,131094,32,5274,7778,8326,8667,8936,4685
45,PrepaidExpenseAndOtherAssetsCurrent,129060,0,4260,7896,8476,8886,9001,4501
46,SellingGeneralAndAdministrativeExpense,129012,44,5737,8302,8470,8405,8054,3992
47,PreferredStockSharesOutstanding,128766,18,4979,7548,8206,8833,9013,4325
48,EarningsPerShareBasicAndDiluted,124929,0,4016,7657,8357,8682,8604,4327
49,AllowanceForDoubtfulAccountsReceivableCurrent,124380,30,5003,7961,8433,8267,7999,3767
50,TreasuryStockValue,123531,35,5729,7930,8026,7891,7762,3804
51,NonoperatingIncomeExpense,122097,25,5150,7620,7999,8039,7958,3908
52,ProfitLoss,122052,25,5766,7650,7786,7799,7741,3917
53,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,120084,30,5732,7358,7615,7749,7748,3796
54,DeferredTaxLiabilitiesNoncurrent,113367,42,4984,7117,7321,7502,7396,3427
55,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,110463,1,2323,5586,6859,7830,9123,5099
56,PreferredStockValue,109911,22,4187,6460,7269,7788,7365,3546
57,FiniteLivedIntangibleAssetsAccumulatedAmortization,109185,13,2564,6376,7644,7993,8107,3698
58,LongTermDebtNoncurrent,108048,37,4586,6644,6970,7111,7125,3543
59,SalesRevenueNet,107751,47,4626,6858,7127,7063,6823,3373
60,TreasuryStockShares,106272,25,4873,6865,6894,6816,6694,3257
61,EmployeeRelatedLiabilitiesCurrent,105291,32,3672,6335,6976,7261,7312,3509
62,FiniteLivedIntangibleAssetsNet,101469,14,2514,5816,6918,7421,7601,3539
63,OtherAssetsCurrent,97740,36,4460,6145,6385,6401,6150,3003
64,ShareBasedCompensation,97494,35,2683,6341,6524,6471,6223,4221
65,CashAndCashEquivalentsPeriodIncreaseDecrease,97197,38,2933,6445,6178,6098,5971,4736
66,NetIncomeLossAvailableToCommonStockholdersBasic,96678,2,3052,6034,6586,6616,6665,3271
67,DeferredTaxAssetsNetCurrent,95394,42,5203,7294,6921,6384,5103,851
68,ResearchAndDevelopmentExpense,94830,28,3659,5743,6066,6359,6486,3269
69,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,93969,10,1944,5050,6937,6858,6795,3729
70,LongTermDebt,92172,6,2231,5401,6440,6672,6786,3188
71,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,91509,8,1468,5797,7104,6980,6471,2675
72,MinorityInterest,89175,21,3969,5449,5722,5801,5866,2897
73,InvestmentIncomeInterest,88917,26,4555,6525,6031,5367,4803,2332
74,AmortizationOfIntangibleAssets,88557,20,2181,4749,6217,6445,6431,3476
75,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,88401,1,65,3150,6707,7730,7868,3946
76,OtherComprehensiveIncomeLossNetOfTax,86232,0,7,2596,7068,7617,7590,3866
77,DeferredRevenueCurrent,85428,18,3432,5258,5527,5725,5756,2760
78,CostsAndExpenses,84822,17,3783,5489,5479,5470,5315,2721
79,NetCashProvidedByUsedInOperatingActivities,84801,38,3028,6733,6264,5004,4164,3036
80,DepreciationDepletionAndAmortization,84384,30,2585,5284,5737,5660,5551,3281
81,LongTermDebtCurrent,83802,25,3408,5134,5477,5541,5579,2770
82,CostOfGoodsSold,83766,32,3639,5377,5577,5481,5247,2569
83,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,83226,6,1383,5318,6431,6328,5871,2405
84,NetIncomeLossAttributableToNoncontrollingInterest,82557,15,3581,4882,5175,5474,5555,2837
